link,likes/views,comments
https://www.instagram.com/p/CU_RnSAFz3p/,9,0
https://www.instagram.com/p/CUqh344lBda/,22,0
https://www.instagram.com/p/CUbKbVaFYcD/,34,1
https://www.instagram.com/p/CUYoSdpFt4J/,15,0
https://www.instagram.com/p/CUJKsdulbT3/,89,0
https://www.instagram.com/p/CT4qzR1pIXL/,41,0
https://www.instagram.com/p/CTk-zPRlCbp/,24,1
https://www.instagram.com/p/CNSmoKbFL4j/,8,0
https://www.instagram.com/p/CNAPh0oF6_E/,9,0
https://www.instagram.com/p/CM4l3cMld9Z/,14,0
https://www.instagram.com/p/CMwxSF4Fmjd/,9,0
https://www.instagram.com/p/CMcXi_3lvZL/,7,0
https://www.instagram.com/p/CMComF7FhlU/,9,0
https://www.instagram.com/p/CL4z7vBFNfz/,11,0
https://www.instagram.com/p/CLmMGe3laIU/,18,1
https://www.instagram.com/p/CLW1h7oF9-J/,11,0
https://www.instagram.com/p/CKy_JhUlNBv/,10,1
https://www.instagram.com/p/CKjbycoF38W/,9,0
https://www.instagram.com/p/CIgCZ_4FhW0/,21,0
https://www.instagram.com/p/CH-r72hFBqP/,18,0
https://www.instagram.com/p/CHx_gO5lfv4/,7,0
https://www.instagram.com/p/CG5fhn7FHvB/,9,0
https://www.instagram.com/p/CGztagXlqg8/,11,0
https://www.instagram.com/p/CGa02KjFlSl/,13,0
https://www.instagram.com/p/CF9vo3SFbQy/,18,3
https://www.instagram.com/p/CFqSa85litk/,16,1
https://www.instagram.com/p/CE7hOhDl_fi/,16,0
https://www.instagram.com/p/CE4GkEnFvFY/,12,0
https://www.instagram.com/p/CBgxJIiFdRT/,39,3
https://www.instagram.com/p/CA8l22kFAOG/,6,0
https://www.instagram.com/p/CAviaztlz4R/,12,0
https://www.instagram.com/p/B888h5Fl3q9/,22,0
https://www.instagram.com/p/B8xWM01lgX-/,24,0
https://www.instagram.com/p/B8uVl2mlrRu/,49,4
