link,likes/views,comments
https://www.instagram.com/p/B_LlIW2BE_I/,"6,670",43
https://www.instagram.com/p/B_LhwgyjlNG/,20.5k,115
https://www.instagram.com/p/B_LUByEn-Qe/,"8,102",59
https://www.instagram.com/p/B_LQlY8HL6Q/,102k,614
https://www.instagram.com/p/B_LNJiXnI1J/,132k,"1,369"
https://www.instagram.com/p/B_LGSc9nXJJ/,57.6k,127
https://www.instagram.com/p/B_LC2FUH8sF/,50.8k,578
https://www.instagram.com/p/B_K77kFgROq/,151k,69
https://www.instagram.com/p/B_K6TgfH95t/,36.5k,165
https://www.instagram.com/p/B_K1HmVAX_b/,23.4k,90
https://www.instagram.com/p/B_Kq1OgHPj1/,152k,461
https://www.instagram.com/p/B_KnY8ogwDu/,124k,372
https://www.instagram.com/p/B_Kj5ign-5X/,666k,430
https://www.instagram.com/p/B_Kj9zZgRbd/,29k,77
https://www.instagram.com/p/B_KdFb9D-90/,31.2k,110
https://www.instagram.com/p/B_KWLkpgieX/,121k,40
https://www.instagram.com/p/B_KSuBwgPo3/,395k,333
https://www.instagram.com/p/B_KPWvsnZVT/,117k,356
https://www.instagram.com/p/B_KBoA4H8Qz/,21.5k,70
https://www.instagram.com/p/B_J-LtRnrOJ/,109k,377
https://www.instagram.com/p/B_J6v5eHLZU/,254k,"1,496"
https://www.instagram.com/p/B_Jz4zGjWeq/,96.1k,228
https://www.instagram.com/p/B_Jwc6kFwC4/,57k,130
https://www.instagram.com/p/B_JpmQYluY1/,121k,390
https://www.instagram.com/p/B_JiudWjddI/,32.3k,64
https://www.instagram.com/p/B_JfSuBF7QU/,128k,435
https://www.instagram.com/p/B_JYbGEHli3/,76.9k,127
https://www.instagram.com/p/B_JU_tcFIBF/,214k,821
https://www.instagram.com/p/B_JRje9nLDt/,87.9k,206
https://www.instagram.com/p/B_JKsBnFOlK/,67.8k,260
https://www.instagram.com/p/B_JAVQ2AOFv/,278k,"1,834"
https://www.instagram.com/p/B_I5hOlnHpG/,49.1k,362
