link,likes/views,comments
https://www.instagram.com/p/B_WPrm2n4bF/,3,2
https://www.instagram.com/p/B_VfYPPH7Nl/,35.6k,162
https://www.instagram.com/p/B_VRBmNHAJw/,58.5k,974
https://www.instagram.com/p/B_UCzIlnPaA/,63.5k,536
https://www.instagram.com/p/B_TuynUnG5d/,75.9k,731
https://www.instagram.com/p/B_TXDLzHOhF/,31.9k,203
https://www.instagram.com/p/B_SQYFcnn-B/,79.9k,"1,238"
https://www.instagram.com/p/B_RYjTHndVU/,39.5k,488
https://www.instagram.com/p/B_QRpsXHuZR/,104k,811
https://www.instagram.com/p/B_Ob0MznRc8/,48.4k,"2,644"
https://www.instagram.com/p/B_OCC0kH733/,83.9k,517
https://www.instagram.com/p/B_ML7jrH2Ov/,46.7k,210
https://www.instagram.com/p/B_L3sZsHQsv/,85.8k,656
https://www.instagram.com/p/B_K6C8fHTmz/,44.1k,174
https://www.instagram.com/p/B_IpzR1Hk4U/,111k,"1,524"
https://www.instagram.com/p/B_GaJRJH-xF/,80.5k,607
https://www.instagram.com/p/B_E3IAnniR7/,62.7k,595
https://www.instagram.com/p/B_DWRkKDxMu/,42.8k,672
https://www.instagram.com/p/B_B3DGBHjBE/,72k,282
https://www.instagram.com/p/B_BV9A0n8aa/,54.9k,289
https://www.instagram.com/p/B_A3vyPnjjI/,68.9k,386
https://www.instagram.com/p/B-_7KtVHZnY/,59.4k,492
https://www.instagram.com/p/B-_VncWHVOX/,45.2k,837
https://www.instagram.com/p/B--pnzbnk-u/,82.6k,371
https://www.instagram.com/p/B--cX7AHqhJ/,62.3k,491
https://www.instagram.com/p/B--PbjDnbQr/,78.4k,512
https://www.instagram.com/p/B-84tZnnp7q/,79.4k,"1,554"
https://www.instagram.com/p/B-8I7Jdnkfz/,69.1k,564
https://www.instagram.com/p/B-77GCvHBQR/,58.6k,816
https://www.instagram.com/p/B-6dU9eHiKH/,58.6k,305
https://www.instagram.com/p/B-5386UnWdq/,53.4k,429
https://www.instagram.com/p/B-48_eqnODP/,90.7k,"1,011"
https://www.instagram.com/p/B-2hWh7nJtB/,94k,695
https://www.instagram.com/p/B-2RxavHzzW/,87.9k,653
https://www.instagram.com/p/B-0PsxHntrZ/,76.3k,540
https://www.instagram.com/p/B-y9CGvnwIl/,53.8k,360
https://www.instagram.com/p/B-yNZpLHYq-/,86.7k,636
https://www.instagram.com/p/B-x3wKoHh6a/,59.6k,897
https://www.instagram.com/p/B-xVS2wHeuZ/,43.6k,797
https://www.instagram.com/p/B-wTCdHH0az/,42.5k,174
https://www.instagram.com/p/B-va21pHkZN/,68.6k,446
https://www.instagram.com/p/B-u-uZmHnQX/,92.4k,897
https://www.instagram.com/p/B-tHk23nlHv/,56.6k,483
https://www.instagram.com/p/B-s6IGLnFJu/,48.1k,"2,657"
https://www.instagram.com/p/B-sjnCRnuDC/,58.9k,"1,565"
https://www.instagram.com/p/B-qlQAYHzzn/,52.7k,791
https://www.instagram.com/p/B-qRcLOnpjY/,65.2k,"1,155"
https://www.instagram.com/p/B-ppZIhH8_1/,130k,859
https://www.instagram.com/p/B-oKg7SngIw/,67.7k,"1,142"
https://www.instagram.com/p/B-nvMMmnVuV/,52.9k,176
https://www.instagram.com/p/B-nj1eznG-8/,79.4k,400
https://www.instagram.com/p/B-nKbg1HlpZ/,88.5k,"1,352"
https://www.instagram.com/p/B-lfP_OncEI/,86.2k,702
https://www.instagram.com/p/B-k7zzRnFjw/,79.2k,681
https://www.instagram.com/p/B-kfFxLnvMa/,67.9k,471
https://www.instagram.com/p/B-jF0j3nbzG/,62k,"1,618"
https://www.instagram.com/p/B-ir023nSDR/,91k,639
https://www.instagram.com/p/B-gf3ueHR40/,70.6k,510
https://www.instagram.com/p/B-f8WLOHZ5V/,86.1k,513
https://www.instagram.com/p/B-fqRXyHvzt/,67.9k,425
https://www.instagram.com/p/B-d3tf5ngdO/,63.9k,973
https://www.instagram.com/p/B-drmW0HMmY/,58.5k,263
https://www.instagram.com/p/B-bN-vinHrN/,106k,"1,195"
https://www.instagram.com/p/B-aoJ-bndHq/,73k,679
https://www.instagram.com/p/B-aYQPCnlf9/,80.4k,"6,912"
https://www.instagram.com/p/B-YJp0EHoj7/,70.6k,456
https://www.instagram.com/p/B-X-mOaHt9R/,67.7k,588
https://www.instagram.com/p/B-WULU5nuWA/,92.3k,840
https://www.instagram.com/p/B-V0kcpnExs/,88.2k,330
https://www.instagram.com/p/B-Vg_0-HPPl/,64k,663
https://www.instagram.com/p/B-U_qFOne1q/,83.9k,292
https://www.instagram.com/p/B-TVoECn1qj/,78.3k,355
https://www.instagram.com/p/B-S6x0gHeuS/,95.2k,543
https://www.instagram.com/p/B-SkKuoHUk5/,63.4k,236
https://www.instagram.com/p/B-SWQZSnou_/,103k,832
https://www.instagram.com/p/B-Qwa6Rn-Nf/,99.6k,"3,095"
https://www.instagram.com/p/B-QhT3jnIUy/,77.7k,635
https://www.instagram.com/p/B-QK3NYHEbs/,46k,"1,190"
https://www.instagram.com/p/B-PryDHnM2v/,61.2k,764
https://www.instagram.com/p/B-O4L0BnUs8/,76k,"1,476"
https://www.instagram.com/p/B-OSntDn2kN/,52k,256
https://www.instagram.com/p/B-N2qq-HXYR/,69.8k,692
https://www.instagram.com/p/B-NnkfEnrpl/,70.1k,301
https://www.instagram.com/p/B-NOhJ1n5UH/,73.4k,"1,146"
https://www.instagram.com/p/B-MZVZTnAU4/,72.2k,396
https://www.instagram.com/p/B-MESUunoZh/,56.1k,180
https://www.instagram.com/p/B-LRD_FnIKc/,41.5k,201
https://www.instagram.com/p/B-K6oDmHtYy/,116k,"2,407"
https://www.instagram.com/p/B-JNJyBH7uy/,68.9k,660
https://www.instagram.com/p/B-I_PSmn0tD/,83.6k,507
https://www.instagram.com/p/B-IrnKznHnr/,37.2k,234
https://www.instagram.com/p/B-IM_khHdlt/,77.6k,"1,020"
https://www.instagram.com/p/B-Gzironq-Z/,60.7k,898
https://www.instagram.com/p/B-GOvbLH_EX/,49.6k,635
